t_s,a_code,b_code,c,d
0.00176,115,112,0,0
0.00177,115,112,0,0
0.00178,115,112,0,0
0.00179,115,111,0,0
0.0018,115,112,0,0
0.00181,115,112,0,0
0.00182,115,112,0,0
0.00183,115,112,0,0
0.00184,115,112,0,0
0.00185,115,112,0,0
0.00186,115,112,0,0
0.00187,115,112,0,0
0.00188,115,111,0,0
0.00189,115,112,0,0
0.0019,115,112,0,0
0.00191,115,112,0,0
0.00192,115,112,0,0
0.00193,115,112,0,0
0.00194,115,112,0,0
0.00195,115,112,0,0
0.00196,115,112,0,0
0.00197,115,112,0,0
0.00198,114,112,0,0
0.00199,115,111,0,0
0.002,180,112,0,0
0.00201,180,112,0,0
0.00202,179,111,0,0
0.00203,179,112,0,0
0.00204,180,112,0,0
0.00205,180,111,0,0
0.00206,179,112,0,0
0.00207,179,112,0,0
0.00208,179,112,0,0
0.00209,180,112,0,0
0.0021,180,112,0,0
0.00211,180,112,0,0
0.00212,179,112,0,0
0.00213,180,112,0,0
0.00214,180,112,0,0
0.00215,180,112,0,0
0.00216,179,112,0,0
0.00217,179,112,0,0
0.00218,179,112,0,0
0.00219,179,112,0,0
0.0022,180,111,0,0
0.00221,180,112,0,0
0.00222,179,112,0,0
0.00223,179,112,0,0
0.00224,179,112,0,0
0.00225,180,111,0,0
0.00226,179,111,0,0
0.00227,179,112,0,0
0.00228,179,112,0,0
0.00229,180,112,0,0
0.0023,180,112,0,0
0.00231,180,112,0,0
0.00232,180,112,0,0
0.00233,179,111,0,0
0.00234,180,112,0,0
0.00235,180,112,0,0
0.00236,180,112,0,0
0.00237,180,112,0,0
0.00238,179,112,0,0
0.00239,180,112,0,0
0.0024,180,112,0,0
0.00241,180,112,0,0
0.00242,179,112,0,0
0.00243,179,112,0,0
0.00244,179,112,0,0
0.00245,180,112,0,0
0.00246,180,112,0,0
0.00247,180,111,0,0
0.00248,180,112,0,0
0.00249,179,112,0,0
0.0025,115,112,0,0
0.00251,115,112,0,0
0.00252,115,112,0,0
0.00253,115,111,0,0
0.00254,115,112,0,0
0.00255,115,112,0,0
0.00256,115,111,0,0
0.00257,115,112,0,0
0.00258,115,111,0,0
0.00259,115,112,0,0
0.0026,115,112,0,0
0.00261,115,112,0,0
0.00262,115,112,0,0
0.00263,115,112,0,0
0.00264,115,112,0,0
0.00265,115,112,0,0
0.00266,115,112,0,0
0.00267,115,112,0,0
0.00268,115,112,0,0
0.00269,115,112,0,0
0.0027,115,112,0,0
0.00271,115,112,0,0
0.00272,115,111,0,0
0.00273,115,112,0,0
0.00274,115,112,0,0
0.00275,115,112,0,0
0.00276,115,112,0,0
0.00277,115,111,0,0
0.00278,115,112,0,0
0.00279,115,112,0,0
0.0028,115,112,0,0
0.00281,115,111,0,0
0.00282,115,112,0,0
0.00283,115,112,0,0
0.00284,114,112,0,0
0.00285,115,112,0,0
0.00286,115,112,0,0
0.00287,115,111,0,0
0.00288,115,111,0,0
0.00289,115,112,0,0
0.0029,115,111,0,0
0.00291,115,112,0,0
0.00292,115,112,0,0
0.00293,115,112,0,0
0.00294,115,112,0,0
0.00295,115,112,0,0
0.00296,115,112,0,0
0.00297,116,112,0,0
0.00298,115,112,0,0
0.00299,115,112,0,0
0.003,180,112,0,0
0.00301,180,112,0,0
0.00302,180,112,0,0
0.00303,179,112,0,0
0.00304,179,112,0,0
0.00305,179,112,0,0
0.00306,180,111,0,0
0.00307,179,112,0,0
0.00308,179,112,0,0
0.00309,179,112,0,0
0.0031,180,112,0,0
0.00311,180,112,0,0
0.00312,180,111,0,0
0.00313,180,112,0,0
0.00314,179,112,0,0
0.00315,180,112,0,0
0.00316,180,112,0,0
0.00317,180,112,0,0
0.00318,180,112,0,0
0.00319,180,111,0,0
0.0032,179,112,0,0
0.00321,180,112,0,0
0.00322,180,112,0,0
0.00323,180,112,0,0
0.00324,180,112,0,0
0.00325,180,112,0,0
0.00326,180,112,0,0
0.00327,179,112,0,0
0.00328,180,112,0,0
0.00329,179,112,0,0
0.0033,179,112,0,0
0.00331,180,112,0,0
0.00332,180,112,0,0
0.00333,180,112,0,0
0.00334,179,111,0,0
0.00335,179,112,0,0
0.00336,179,112,0,0
0.00337,180,112,0,0
0.00338,180,112,0,0
0.00339,180,112,0,0
0.0034,179,111,0,0
0.00341,179,112,0,0
0.00342,179,112,0,0
0.00343,180,112,0,0
0.00344,180,112,0,0
0.00345,180,112,0,0
0.00346,179,112,0,0
0.00347,180,112,0,0
0.00348,180,112,0,0
0.00349,180,112,0,0
0.0035,115,112,0,0
0.00351,115,112,0,0
0.00352,115,112,0,0
0.00353,115,112,0,0
0.00354,115,112,0,0
0.00355,115,112,0,0
0.00356,115,112,0,0
0.00357,115,112,0,0
0.00358,115,112,0,0
0.00359,115,112,0,0
0.0036,115,112,0,0
0.00361,115,112,0,0
0.00362,114,112,0,0
0.00363,115,111,0,0
0.00364,115,112,0,0
0.00365,115,111,0,0
0.00366,115,111,0,0
0.00367,115,112,0,0
0.00368,114,112,0,0
0.00369,115,111,0,0
0.0037,115,112,0,0
0.00371,115,112,0,0
0.00372,115,112,0,0
0.00373,115,111,0,0
0.00374,115,112,0,0
0.00375,115,112,0,0
0.00376,115,112,0,0
0.00377,115,112,0,0
0.00378,114,111,0,0
0.00379,115,112,0,0
0.0038,115,112,0,0
0.00381,115,112,0,0
0.00382,115,112,0,0
0.00383,115,111,0,0
0.00384,115,112,0,0
0.00385,115,112,0,0
0.00386,115,112,0,0
0.00387,115,112,0,0
0.00388,115,111,0,0
0.00389,115,112,0,0
0.0039,115,111,0,0
0.00391,115,111,0,0
0.00392,115,112,0,0
0.00393,115,112,0,0
0.00394,115,112,0,0
0.00395,115,112,0,0
0.00396,115,112,0,0
0.00397,115,112,0,0
0.00398,115,111,0,0
0.00399,115,112,0,0
0.004,180,111,0,0
0.00401,180,112,0,0
0.00402,180,112,0,0
0.00403,179,112,0,0
0.00404,180,112,0,0
0.00405,180,112,0,0
0.00406,180,112,0,0
0.00407,180,112,0,0
0.00408,179,112,0,0
0.00409,179,112,0,0
0.0041,180,112,0,0
0.00411,180,112,0,0
0.00412,180,112,0,0
0.00413,179,112,0,0
0.00414,179,112,0,0
0.00415,179,112,0,0
0.00416,180,112,0,0
0.00417,179,112,0,0
0.00418,179,112,0,0
0.00419,179,111,0,0
0.0042,179,112,0,0
0.00421,180,112,0,0
0.00422,179,112,0,0
0.00423,179,112,0,0
0.00424,179,112,0,0
0.00425,180,112,0,0
0.00426,180,112,0,0
0.00427,180,112,0,0
0.00428,179,112,0,0
0.00429,179,112,0,0
0.0043,179,111,0,0
0.00431,180,112,0,0
0.00432,180,112,0,0
0.00433,179,112,0,0
0.00434,180,112,0,0
0.00435,180,112,0,0
0.00436,180,112,0,0
0.00437,180,112,0,0
0.00438,179,112,0,0
0.00439,179,112,0,0
0.0044,180,111,0,0
0.00441,180,112,0,0
0.00442,180,112,0,0
0.00443,179,112,0,0
0.00444,179,111,0,0
0.00445,179,111,0,0
0.00446,179,112,0,0
0.00447,180,112,0,0
0.00448,179,112,0,0
0.00449,179,112,0,0
0.0045,115,112,0,0
0.00451,115,112,0,0
0.00452,115,112,0,0
0.00453,115,112,0,0
0.00454,115,112,0,0
0.00455,115,111,0,0
0.00456,116,112,0,0
0.00457,115,111,0,0
0.00458,115,111,0,0
0.00459,115,112,0,0
0.0046,115,112,0,0
0.00461,115,112,0,0
0.00462,115,112,0,0
0.00463,115,112,0,0
0.00464,115,112,0,0
0.00465,115,112,0,0
0.00466,115,112,0,0
0.00467,115,112,0,0
0.00468,115,111,0,0
0.00469,115,112,0,0
0.0047,115,112,0,0
0.00471,115,112,0,0
0.00472,115,112,0,0
0.00473,115,112,0,0
0.00474,115,112,0,0
0.00475,114,111,0,0
0.00476,115,112,0,0
0.00477,115,112,0,0
0.00478,115,112,0,0
0.00479,115,112,0,0
0.0048,115,112,0,0
0.00481,115,112,0,0
0.00482,115,112,0,0
0.00483,116,112,0,0
0.00484,115,112,0,0
0.00485,115,112,0,0
0.00486,115,112,0,0
0.00487,115,112,0,0
0.00488,115,112,0,0
0.00489,115,112,0,0
0.0049,115,112,0,0
0.00491,115,112,0,0
0.00492,115,112,0,0
0.00493,115,111,0,0
0.00494,115,112,0,0
0.00495,115,112,0,0
0.00496,115,112,0,0
0.00497,115,111,0,0
0.00498,115,112,0,0
0.00499,115,112,0,0
0.005,180,111,0,0
0.00501,179,111,0,0
0.00502,180,111,0,0
0.00503,180,112,0,0
0.00504,179,112,0,0
0.00505,179,112,0,0
0.00506,179,112,0,0
0.00507,180,112,0,0
0.00508,180,112,0,0
0.00509,179,112,0,0
0.0051,179,112,0,0
0.00511,179,112,0,0
0.00512,180,112,0,0
0.00513,180,112,0,0
0.00514,180,112,0,0
0.00515,179,112,0,0
0.00516,180,112,0,0
0.00517,180,112,0,0
0.00518,180,112,0,0
0.00519,180,112,0,0
0.0052,179,112,0,0
0.00521,179,112,0,0
0.00522,180,112,0,0
0.00523,180,111,0,0
0.00524,180,111,0,0
0.00525,179,112,0,0
0.00526,179,112,0,0
0.00527,179,112,0,0
0.00528,180,111,0,0
0.00529,180,112,0,0
0.0053,179,112,0,0
0.00531,180,112,0,0
0.00532,179,112,0,0
0.00533,179,112,0,0
0.00534,180,111,0,0
0.00535,179,112,0,0
0.00536,180,112,0,0
0.00537,180,112,0,0
0.00538,180,112,0,0
0.00539,180,112,0,0
0.0054,180,112,0,0
0.00541,179,112,0,0
0.00542,179,112,0,0
0.00543,180,112,0,0
0.00544,180,112,0,0
0.00545,180,112,0,0
0.00546,179,112,0,0
0.00547,179,112,0,0
0.00548,180,112,0,0
